x:  0.636907, 0.000000, y:  0.400403, 3.400244,
x:  1.014740, 0.000000, y:  0.375156, 4.137721,
x:  0.563332, 0.000000, y:  0.407454, 4.884629,
x:  0.874634, 0.000000, y:  0.301922, 3.161012,
x:  0.697887, 0.000000, y:  0.329901, 3.464776,
x:  1.260300, 0.362000, y:  0.275156, 4.050317,
x:  0.770211, 0.302000, y:  0.335837, 4.784629,
x:  0.463223, 0.370000, y:  0.375011, 3.261012,
x:  1.012090, 0.000000, y:  0.292436, 3.564776,
x:  2.071840, 0.314000, y:  0.233589, 4.150317,
x:  1.126530, 0.252000, y:  0.289286, 4.719629,
x:  0.354976, 0.314000, y:  0.410914, 3.361012,
x:  1.010180, 0.000000, y:  0.292436, 3.564776,
x:  2.077300, 0.310000, y:  0.233589, 4.150317,
x:  1.187760, 0.252000, y:  0.289286, 4.719629,
x:  0.359142, 0.318000, y:  0.410914, 3.361012,
x:  1.356560, 0.000000, y:  0.265925, 3.664776,
x:  1.000000, 0.000000, y:  0.333589, 4.250317,
x:  1.000000, 0.000000, y:  0.262907, 4.682796,
x:  0.885008, 0.000000, y:  0.319045, 4.612222,
x:  1.355080, 0.000000, y:  0.265925, 3.664776,
x:  0.718815, 0.290000, y:  0.333589, 4.250317,
x:  1.612090, 0.364000, y:  0.262907, 4.682796,
x:  0.889595, 0.286000, y:  0.319045, 4.612222,
x:  0.747304, 0.000000, y:  0.325627, 3.764776,
x:  1.013860, 0.354000, y:  0.299327, 4.626820,
x:  1.172680, 0.318000, y:  0.292318, 4.723863,
x:  0.646168, 0.318000, y:  0.347200, 4.512222,
x:  0.747304, 0.000000, y:  0.325627, 3.764776,
x:  1.013860, 0.000000, y:  0.299327, 4.626820,
x:  1.172680, 0.000000, y:  0.292318, 4.723863,
x:  0.698544, 0.000000, y:  0.347200, 4.512222,
